-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2250,2203,2156,2109,2062,2015,1972,1929,1886,1843,1800,1788,1776,1764,1752,1740,1726,1712,1698,1684,1670,1657,1644,1631,1618,1605,1592,1579,1566,1553,1540,1524,1508,1492,1476,1460,1448,1436,1424,1412,1400
2219,2173,2126,2080,2034,1988,1945,1903,1860,1818,1775,1763,1751,1740,1728,1716,1702,1688,1674,1661,1647,1634,1621,1607,1594,1581,1569,1556,1543,1530,1518,1502,1486,1470,1454,1438,1426,1414,1402,1390,1378
2188,2142,2097,2052,2006,1961,1919,1877,1834,1792,1750,1738,1727,1715,1703,1692,1678,1664,1651,1637,1623,1610,1597,1584,1571,1558,1545,1533,1520,1508,1495,1479,1464,1448,1432,1417,1405,1393,1381,1369,1357
2156,2112,2067,2023,1978,1934,1892,1850,1809,1767,1725,1714,1702,1691,1679,1668,1654,1641,1627,1614,1600,1587,1574,1560,1547,1534,1522,1509,1497,1485,1473,1457,1442,1426,1411,1395,1383,1371,1359,1347,1335
2125,2081,2038,1994,1950,1907,1865,1824,1783,1741,1700,1689,1677,1666,1655,1643,1630,1617,1603,1590,1577,1563,1550,1537,1523,1510,1498,1486,1474,1462,1450,1435,1419,1404,1389,1373,1361,1349,1337,1325,1313
2094,2051,2008,1965,1922,1880,1839,1798,1757,1716,1675,1664,1653,1642,1630,1619,1606,1593,1580,1567,1553,1540,1527,1513,1500,1486,1475,1463,1451,1439,1428,1412,1397,1382,1367,1352,1340,1328,1316,1304,1292
2063,2021,1979,1937,1895,1853,1812,1772,1731,1691,1650,1639,1628,1617,1606,1595,1582,1569,1556,1543,1530,1517,1503,1490,1476,1463,1451,1440,1428,1417,1405,1390,1375,1360,1345,1330,1318,1306,1294,1282,1270
2031,1990,1949,1908,1867,1825,1785,1745,1705,1665,1625,1614,1603,1593,1582,1571,1558,1545,1532,1520,1507,1493,1480,1466,1452,1439,1428,1416,1405,1394,1383,1368,1353,1338,1323,1308,1296,1284,1272,1260,1248
2000,1960,1919,1879,1839,1798,1759,1719,1679,1640,1600,1589,1579,1568,1557,1547,1534,1521,1509,1496,1483,1470,1456,1442,1429,1415,1404,1393,1382,1371,1360,1345,1331,1316,1301,1287,1275,1263,1251,1239,1227
1969,1929,1890,1850,1811,1771,1732,1693,1654,1614,1575,1565,1554,1544,1533,1523,1510,1498,1485,1473,1460,1446,1433,1419,1405,1391,1381,1370,1359,1348,1338,1323,1309,1294,1280,1265,1253,1241,1229,1217,1205
